name,address,phone,lat,lon
Loharpul Sorkari Primary School,"100, S.K.Das Road, Dhaka",,23.7022355,90.4203332
Shapla Kinder Garten,"18, S B C Lane, Dhaka",,23.7050902,90.423778
Gandaria High School,,,23.7015344,90.4244242
World sain intarnational School,"23, Distilary road, Dhaka",,23.7062841,90.4209326
Kisholy Kochi Kachar Mela,,,23.7031792,90.4235725
Bangladesh Oxford International School,Narinda Road,,23.7139185,90.4187098
Narinda Govt. Primary Girls School,,,23.7130311,90.4185815
Narinda Govt. High School,"Dhaka, 1100",,23.714671,90.4209509
St. Gregory's High School and College,,,23.7082141,90.4142343
Kobbad Sardar School,Distillery Road,,23.7075479,90.4232035
শহীদ সোহরাওয়ার্দি কলেজ,"R M Das Lane, Dhaka, 1100",,23.7090453,90.4165047
বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয়,,,23.7252317,90.3911351
ঢাকা বিশ্ববিদ্যালয়,,,23.7312754,90.396381
সরকারী শহীদ সোহরাওয়ার্দী কলেজ,Dhaka,,23.708963,90.4165858
"St. Francis Xavier's Girls' School & College, Dhaka",,,23.7083492,90.4134728
Dhaka Govt. Muslim High School,,,23.7085938,90.4129696
K.L.Jubilee High School & College,,,23.7053765,90.4128148
Banglabazar Govt Girls' High School,,,23.7070302,90.4119235
শের ই বাংলা বালিকা মহাবিদ্যালয়,,,23.7205789,90.4185877
Boston International School,,,23.7144991,90.4187199
নারিন্দা কে. এ. হামিদ সরকারি প্রাথমিক বিদ্যালয়,,,23.7144989,90.4190153
St. Joseph International School,,,23.7131852,90.4215329
Armanitola Govt. High School,,,23.7149494,90.402183
Birsrestha Motiur Rahman Govt High School,,,23.7194209,90.4039366
Mahuttuli Govt Primary Boys & Girls School,"8/2, Abul Khairat Rd, Dhaka",,23.7156234,90.4012962
